time,open,high,low,close,MACD,Signal Line,Histogram,Cross
1516320000,993.3,1079,941,1032.5,89.83611917352891,143.1496672582403,-53.313548084711385,NaN
1516406400,1032.5,1165.4,1031,1152.75,87.89748415788006,136.08646098219364,-48.188976824313585,NaN
1516492800,1150.37,1152.69,998,1049,77.10057656262381,127.18588860847588,-50.08531204585206,NaN
1516579200,1049,1090.15,908,993,63.295585408931515,115.26180864175961,-51.9662232328281,NaN
1516665600,993,1030,909,980,50.72135489924176,101.35312772098533,-50.63177282174357,NaN
1516752000,981.2,1074,953.09,1061,46.75326712214314,87.43964311292206,-40.68637599077891,NaN
1516838400,1060.34,1115,1030.26,1056.52,42.75418675977653,76.04327035033208,-33.28908359055555,NaN
1516924800,1055.29,1082,986,1051.03,38.695828222198315,66.70020598818513,-28.004377765986817,NaN
1517011200,1051.03,1127.99,1032.2,1118.99,40.49653502925594,59.72788192617554,-19.231346896919604,NaN
1517097600,1118.99,1277,1112,1251.96,52.05313967832649,55.52977309337529,-3.476633415048802,NaN
1517184000,1251.96,1258.89,1161.65,1177.01,54.53534400818717,51.82286863229829,2.7124753758888787,51.82286863229829
1517270400,1177.01,1186.85,1051,1085.5,48.55866256852619,48.65154485517633,-0.09288228665014486,48.65154485517633
1517356800,1084.63,1135,1029,1124.81,46.458542778837,46.78076234072139,-0.3222195618843884,NaN
1517443200,1125.96,1164.99,981,1041.94,37.672995447555195,45.330944623867325,-7.65794917631213,NaN
1517529600,1041.89,1047.2,783.67,922.3,20.81647835954186,42.44907920580052,-21.63260084625866,NaN
1517616000,923.67,998,851,971,11.257480887627935,38.94944522000623,-27.691964332378298,NaN
1517702400,971,975,789,823.56,-8.121647968004254,33.74750342109484,-41.869151389099095,NaN
1517788800,821.6,862.47,634.94,697.92,-33.234735841015095,25.555139991064728,-58.78987583207982,NaN
1517875200,697.93,798,570.1,779.25,-46.04362536156759,14.655499431076496,-60.699124792644085,NaN
1517961600,779.99,849,714.18,754,-57.56861144904815,2.199504380272572,-59.76811582932072,NaN
1518048000,753.19,786.93,751,781.66,-63.73561067486287,-10.277637091215102,-53.45797358364777,NaN
1518134400,781.66,882.2,781.66,876.27,-60.29373701218367,-22.13900151243962,-38.15473549974405,NaN
1518220800,876.28,911.2,800,851.15,-58.91387887746714,-32.8708764374421,-26.04300244002504,NaN
1518307200,851.15,857,768.28,808.99,-60.52460109240462,-41.908774154325044,-18.61582693807958,NaN
1518393600,808.58,877.56,807.46,866.66,-56.496368057470704,-49.43697959266934,-7.059388464801366,NaN
1518480000,866.39,871,820,841.57,-54.697993251668095,-54.61212906863199,-0.08586418303610799,NaN
1518566400,841.57,924.99,841.3,919.09,-46.48173956334222,-56.084018371112776,9.60227880777056,-56.084018371112776
1518652800,919.09,946.66,895.59,924.55,-39.07924177831944,-55.310197972974095,16.230956194654652,NaN
1518739200,924.55,948.48,901.36,938.67,-31.70783477548605,-52.43677834257831,20.72894356709226,NaN
1518825600,938.6,974,933.48,969.99,-23.0727115137164,-47.91867843578425,24.845966922067852,NaN
1518912000,969.99,978.5,897,911,-20.750119653199363,-43.524943173674885,22.774823520475522,NaN
1518998400,911,956.22,906.04,938.11,-16.531335492928747,-38.81577168650395,22.284436193575203,NaN
1519084800,939.17,961,873,882.99,-17.434666017013797,-34.02800112257164,16.59333510555784,NaN
1519171200,882.99,908.88,812.87,835.89,-21.700982911758388,-30.161847217492493,8.460864305734106,NaN
1519257600,836.35,871.96,786.6,801.49,-27.540393779016767,-27.14433616497568,-0.3960576140410872,-27.14433616497568
1519344000,801.47,885,785.99,851.6,-27.80420122454393,-25.069054127331427,-2.7351470972125043,NaN
1519430400,851.59,875,805,833.94,-29.1028059043781,-23.960561252449054,-5.1422446519290474,NaN
1519516800,833.92,849.5,813.18,841.19,-29.21022773724667,-23.683049359311344,-5.527178377935325,NaN
1519603200,841.46,882,833,867.98,-26.824416036647904,-24.099905417414845,-2.724510619233058,NaN
1519689600,867.98,897.49,860.69,870.11,-24.479584464536174,-24.514290396452267,0.03470593191609339,-24.514290396452267
1519776000,871.84,891,850.3,853.5,-23.68851033294402,-25.309532045342856,1.6210217123988357,NaN
1519862400,853.5,879.96,848.65,870.63,-21.432272647702916,-25.75371055986387,4.3214379121609525,NaN
1519948800,870.63,876.22,850,856.28,-20.56505198094476,-25.62749601199569,5.06244403105093,NaN
1520035200,856.27,870.78,852.3,856.02,-19.67198676361636,-24.753228565840086,5.081241802223726,NaN
1520121600,856.51,868,836.24,866.66,-17.89933467865967,-23.65268783851961,5.753353159859941,NaN
1520208000,866.61,871.75,847.2,849.84,-17.648290057355553,-22.379963855517108,4.731673798161555,NaN
1520294400,849.81,853.18,803.01,813.11,-20.18051105140671,-21.37666200153489,1.1961509501281782,NaN
1520380800,813.31,826.2,718.4,749.9,-26.97686070712882,-21.39360029825499,-5.58326040887383,-21.39360029825499
1520467200,749.02,772.07,684,695.46,-36.33699948916592,-22.711090856547187,-13.625908632618732,NaN
1520553600,695.48,727.92,640,723.71,-41.00278344102787,-24.634898979667614,-16.36788446136026,NaN
1520640000,723.65,745,673.06,680.58,-47.631613791449354,-27.54593688452833,-20.085676906921023,NaN
1520726400,680.58,735,659.15,720.85,-49.069909777774456,-30.713143306398294,-18.35676647137616,NaN
1520812800,721,740.5,676.31,697.11,-51.53136777529107,-34.25307452991771,-17.278293245373362,NaN
1520899200,696.52,713.76,680,689.94,-53.44457426593465,-38.202545595170484,-15.242028670764164,NaN
1520985600,690.16,703.54,585,610.1,-60.70347309175588,-42.98645482121496,-17.71701827054092,NaN
1521072000,610.1,621.12,570,608.83,-65.80017760666703,-48.05530666068833,-17.744870945978704,NaN
1521158400,608.83,625.3,584.15,599.05,-69.82363353593735,-52.816059197222614,-17.007574338714733,NaN
1521244800,599.03,609.26,544,546.95,-76.33632825504151,-57.26042906009767,-19.075899194943837,NaN
1521331200,547.98,560,450,537,-81.36266937963842,-61.74486083105441,-19.61780854858401,NaN
1521417600,537.39,560,515.8,556.88,-82.78760707691924,-65.65108230721772,-17.136524769701523,NaN
1521504000,556.88,567.87,515,557,-82.95099009243086,-69.415646786624,-13.535343305806862,NaN
1521590400,557,590.52,545.11,559.17,-81.96058088700624,-72.79667046570346,-9.163910421302788,NaN
