unix,open,high,low,close,Volume ETH
1628892000,3279.96,3295,3276.22,3289.36,74296.674
1628895600,3289.36,3332.88,3285.37,3324.12,140415.213
1628899200,3324.12,3328.68,3287.08,3306.94,109273.941
1628902800,3306.98,3325.65,3301.13,3303.68,69206.757
1628906400,3303.68,3312.22,3285.23,3304.18,65851.586
1628910000,3304.13,3313,3290.83,3299,43951.995
1628913600,3298.99,3302.83,3280.11,3283.58,55010.679
1628917200,3283.57,3305,3282.39,3299.68,43967.348
1628920800,3299.69,3312.77,3297.71,3304.58,50615.248
1628924400,3304.58,3326.46,3300.58,3309.54,72133.867
1628928000,3309.55,3313.17,3295,3303.34,64803.089
1628931600,3303.35,3337.99,3261.01,3277.54,241631.153
1628935200,3277.54,3290,3210.3,3228.31,327141.814
1628938800,3228.31,3248,3210,3248,141036.401
1628942400,3248,3258.85,3224,3224.87,122337.536
1628946000,3224.86,3244.13,3213,3239.08,100338.947
1628949600,3238.73,3277.91,3230.46,3275.34,130623.623
1628953200,3275.34,3279.5,3242.1,3272.92,97386.925
1628956800,3273.1,3276.77,3251.55,3262.55,76327.685
1628960400,3262.55,3263.47,3232.13,3252.74,77329.945
1628964000,3252.73,3267.47,3243.51,3250.53,40330.601
1628967600,3250.52,3293.62,3240.06,3265.89,83935.392
1628971200,3265.89,3266.25,3216.14,3230.76,108608.765
1628974800,3230.76,3271.7,3230.51,3269.88,61185.314
1628978400,3269.87,3275.62,3243.04,3244.65,59228.285
1628982000,3244.65,3280,3238.01,3266.31,65081.834
1628985600,3266.31,3288,3252.53,3276.65,87661.189
1628989200,3276.65,3282.98,3262,3264.88,59000.117
1628992800,3264.87,3289.97,3264.61,3275.19,62318.334
1628996400,3275.19,3282,3246.18,3249,65358.187
1629000000,3249,3257.99,3231,3249.58,92228.406
1629003600,3249.58,3258.64,3231,3236.38,53470.729
1629007200,3236.37,3255,3215,3223.08,109890.634
1629010800,3223.1,3231.5,3155.25,3163.46,219804.193
1629014400,3163.45,3178,3151.19,3153.87,158290.653
1629018000,3153.88,3176.67,3133,3163.81,147790.682
1629021600,3163.81,3177,3142.08,3156.2,107293.894
1629025200,3156.2,3166.33,3137.49,3160.76,85945.222
1629028800,3160.76,3174.42,3142.4,3154.72,132073.933
1629032400,3154.72,3172.5,3135.03,3165.93,120965.61
1629036000,3165.93,3198.31,3145,3147.57,221780.827
1629039600,3147.68,3162,3142.2,3156.57,86981.432
1629043200,3156.65,3170.57,3141.4,3144.64,87679.498
1629046800,3144.63,3163.24,3109,3157.51,164289.884
1629050400,3157.5,3194,3151.36,3190.72,97339.232
1629054000,3190.73,3217.91,3170,3208.13,122113.991
1629057600,3208.13,3269,3202,3259.36,149608.433
1629061200,3259.36,3277.48,3242,3260.53,142637.113
1629064800,3260.53,3308.38,3260.53,3307.69,138271.751
1629068400,3307.69,3326,3300.96,3312.31,150763.081
1629072000,3312.31,3343,3291.6,3316.92,251225.097
1629075600,3316.99,3326.42,3302.2,3315.64,77260.852
1629079200,3315.65,3325,3306.01,3321.45,61309.33
1629082800,3321.44,3323.96,3262.33,3264.38,123289.959
1629086400,3264.39,3287.56,3260,3278.25,92159.913
1629090000,3278.23,3301.3,3278,3300.08,80676.004
1629093600,3300.01,3314,3261.01,3275.35,118402.971
1629097200,3275.35,3292.6,3267,3275.73,64708.231
1629100800,3275.74,3292,3247.16,3270,99727.13
1629104400,3270.01,3278,3264.6,3276.67,64574.919
1629108000,3276.67,3299.3,3276.06,3293.97,116062.716
1629111600,3293.98,3309.67,3283.52,3289.54,102524.999
1629115200,3289.54,3298.82,3266.93,3283.5,116845.083
1629118800,3283.49,3289.05,3209.55,3223.2,277388.993
1629122400,3222.98,3238.58,3203.53,3207.23,146351.33
1629126000,3207.23,3227,3183.75,3225.34,172150.364
1629129600,3225.06,3246.41,3214.14,3225.75,113440.347
1629133200,3225.78,3232.42,3206.04,3221.35,68542.906
1629136800,3221.34,3239.26,3211.42,3231.39,61082.403
1629140400,3231.4,3231.4,3163,3178.16,108780.554
1629144000,3178.17,3178.17,3133.33,3163.72,241953.865
1629147600,3163.64,3198,3150,3174.49,84276.594
1629151200,3174.5,3201.84,3165.54,3184.79,78979.632
1629154800,3184.78,3189.01,3146,3146.83,101727.433
1629158400,3146.82,3163.42,3115.41,3135.12,184010.322
1629162000,3135.13,3179,3130.93,3174.86,122380.224
1629165600,3174.86,3195.52,3167.26,3192.77,79962.455
1629169200,3192.78,3209.78,3177,3194.2,89380.363
1629172800,3194.61,3216.26,3184.3,3191.81,85480.056
1629176400,3191.8,3201.04,3166.74,3172.01,92956.819
1629180000,3172,3181,3143,3146,121582.021
1629183600,3146,3172.4,3135,3171.06,100567.76
1629187200,3171.03,3206.7,3168.38,3183.23,111690.595
1629190800,3183.23,3249.88,3181.88,3242.26,200749.062
1629194400,3242.25,3251.7,3220.7,3223.59,102333.403
1629198000,3223.59,3282.09,3223.59,3258,160245.115
1629201600,3257.98,3294.23,3239.32,3241.59,208982.529
1629205200,3241.59,3257.91,3222.88,3234.42,140163.565
1629208800,3234.42,3244.37,3182.18,3194,193241.903
1629212400,3194.01,3204.05,3160,3167.46,133976.539
1629216000,3167.5,3190.96,3142.14,3152.96,184577.878
1629219600,3152.83,3179.88,3146.68,3169.02,92510.089
1629223200,3169.01,3189.21,3150.03,3163.64,107278.032
1629226800,3163.57,3166.87,3103,3118.79,236159.307
1629230400,3118.79,3128.55,3012,3072.7,355450.524
1629234000,3072.74,3073.24,3020.15,3029.47,136782.297
1629237600,3029.47,3058.63,2992,3053.74,239080.145
1629241200,3053.74,3054.56,3007.18,3014.64,103513.429
1629244800,3014.63,3046.52,2981,3024.33,232251.766
1629248400,3024.34,3044.9,2950,3044.9,241447.977
1629252000,3044.9,3047.31,3006.91,3034,118897.659
1629255600,3034,3053.74,3008.01,3052.05,83597.8
1629259200,3052.21,3060,3027.32,3045.41,112854.989
1629262800,3045.4,3084.68,3038.96,3081.91,105211.791
1629266400,3081.9,3083.44,3056.89,3069.4,80792.288
1629270000,3069.41,3076.24,3022.37,3030.95,105575.557
1629273600,3030.89,3050.94,3016,3044.38,104601.489
1629277200,3044.53,3061.7,3035.73,3053.9,79992.378
1629280800,3053.89,3069.64,3025.13,3034.31,89192.137
1629284400,3034.32,3058.99,2990.01,3001.23,151006.75
1629288000,3001.23,3042.63,2996.61,3030,139469.338
1629291600,3030,3067.94,3029.99,3055.34,125191.963
1629295200,3055.29,3081.84,3051,3074.97,98641.584
1629298800,3074.96,3117.96,3053,3111.69,157130.502
1629302400,3111.69,3125.92,3085.04,3121.4,157466.823
1629306000,3121.64,3123.84,3096.73,3107.3,80882.848
1629309600,3107.29,3118.75,3055.2,3056.5,139715.453
1629313200,3056.5,3069.01,3023,3031.88,119963.242
1629316800,3031.87,3042.23,3004,3007.65,107155.242
1629320400,3007.7,3026.52,2996.69,3003.07,102657.601
1629324000,3003.07,3043.42,2998.13,3038.89,92184.812
1629327600,3038.9,3059.26,3008.3,3014.25,88882.102
1629331200,3014.31,3049.54,2997.42,3044.39,163563.563
1629334800,3044.38,3054.2,3026.41,3028.08,81601.683
1629338400,3028.09,3028.09,3006.01,3007.89,83107.207
1629342000,3007.9,3008.52,2966.31,2966.97,168424.895
1629345600,2966.98,2993.55,2958.8,2984.34,114887.065
1629349200,2984.33,3018.88,2972.1,3007.73,102648.48
1629352800,3007.6,3011.73,2987.18,2998.3,86213.672
1629356400,2998.3,3012.16,2973.3,2996.83,97417.314
1629360000,2996.83,3023.99,2980,3004.63,155001.781
1629363600,3004.63,3016.94,2999.17,3003.75,98674.718
1629367200,3003.75,3014,2982.01,2982.74,74884.553
1629370800,2982.74,3002,2973,2973.65,80219.368
1629374400,2973.51,3005.13,2962.63,2998.35,111597.516
1629378000,2998.35,3022.65,2983,3021.82,135576.042
1629381600,3021.83,3057.2,3021.83,3042.73,188487.771
1629385200,3042.72,3079.73,3042.22,3068.01,121407.036
1629388800,3068.01,3078.88,3046.24,3047.49,93692.932
1629392400,3047.49,3059.78,3022.13,3050.7,84395.765
1629396000,3050.75,3140.95,3048.37,3133.98,242489.822
1629399600,3133.92,3168,3133.19,3149.59,163559.208
1629403200,3149.61,3168.32,3145,3160.52,101665.571
1629406800,3160.61,3175.89,3147.5,3165.61,60608.707
1629410400,3165.6,3180,3150.04,3174.09,84785.428
1629414000,3173.86,3194,3158,3186.8,100377.567
1629417600,3186.76,3249.48,3180,3232.3,224055.66
1629421200,3232.3,3244.98,3216,3239.1,78784.159
1629424800,3239.1,3244.01,3222.94,3232.88,65563.615
1629428400,3232.87,3236.46,3211.73,3221.09,71204.07
1629432000,3221.09,3234.93,3212.33,3225.53,69592.766
1629435600,3225.53,3231,3207.14,3228.73,72694.858
1629439200,3228.73,3237.84,3217.29,3231.8,52646.847
1629442800,3231.81,3234.74,3209,3219.95,65689.373
1629446400,3220,3229.38,3190,3203.46,112207.146
1629450000,3203.45,3221.24,3197.58,3212.05,72962.673
1629453600,3212.04,3228.28,3206.03,3220.58,53863.48
1629457200,3220.57,3220.82,3202,3207.36,43628.419
1629460800,3207.36,3245.86,3205.89,3239.32,81749.125
1629464400,3239.32,3265,3228,3262.95,147591.873
1629468000,3262.96,3308.26,3253.2,3285.18,246338.445
1629471600,3285.19,3293.21,3262.55,3286.44,131874.974
1629475200,3286.44,3302.23,3239.65,3266.11,163468.9
1629478800,3266.1,3277.55,3250,3252.1,69567.514
1629482400,3252.1,3259.65,3220,3236.28,108909.211
1629486000,3236.27,3259.36,3236.27,3253.43,58413.871
1629489600,3253.42,3278,3245.39,3259.41,51968.562
1629493200,3259.42,3298.45,3259.29,3293.24,46377.646
1629496800,3293.42,3295,3248.22,3262.57,76031.165
1629500400,3262.57,3289.19,3257.6,3286.62,57830.972
1629504000,3286.65,3288.2,3235.7,3243.37,87660.899
1629507600,3243.37,3272.22,3237.1,3266.63,50666.305
1629511200,3266.62,3284.82,3260.03,3264.68,60559.968
1629514800,3264.68,3284.51,3253.04,3278.78,55717.93
1629518400,3278.78,3283.79,3257.19,3272.28,60643.168
1629522000,3272.28,3313.2,3267.81,3291.4,129502.604
1629525600,3291.39,3292.46,3272.02,3278.64,61105.245
1629529200,3278.63,3298,3267.69,3296.5,60851.727
1629532800,3296.51,3313.9,3282.29,3288.89,87445.922
1629536400,3288.89,3292,3275.13,3283.5,52332.509
1629540000,3283.5,3310,3278.25,3299.63,83035.806
1629543600,3299.63,3307.05,3241.1,3252.25,215070.894
1629547200,3252.26,3297.97,3246.24,3292.99,114266.11
1629550800,3292.98,3301,3276.9,3284.68,81918.018
1629554400,3284.68,3286.76,3256.01,3260,76361.185
1629558000,3260.01,3281.94,3258,3274.25,52440.731
1629561600,3274.25,3295,3263.23,3289.34,88756.725
1629565200,3289.34,3292,3266.2,3279.62,52962.029
1629568800,3279.62,3280.33,3250.33,3263.99,62673.52
1629572400,3263.9,3265.79,3207.12,3220,123339.439
1629576000,3219.99,3236.58,3213.3,3231.45,44569.162
1629579600,3231.44,3257,3223.87,3253.1,39559.881
1629583200,3253.1,3264.16,3233.1,3254.16,48387.052
1629586800,3254.16,3259,3225.03,3226.4,48247.952
1629590400,3226.39,3253.5,3221.07,3247.25,63146.273
1629594000,3247.25,3259.91,3236,3251.75,40158.369
1629597600,3251.75,3252.44,3221.49,3230.75,50596.003
1629601200,3230.76,3239.51,3218,3228.51,46437.67
1629604800,3228.51,3248.92,3228.04,3248.17,46089.474
1629608400,3247.91,3252.8,3228.34,3231.28,42824.231
1629612000,3231.28,3270,3231.28,3257.66,83404.429
1629615600,3257.66,3274.6,3257.65,3264.51,43605.595
1629619200,3264.51,3271.77,3242.4,3253.42,66962.372
1629622800,3253.42,3276.42,3253.29,3267.96,56278.597
1629626400,3267.81,3271.95,3250,3252.95,59090.207
1629630000,3252.94,3262,3250.11,3258,29579.085
1629633600,3258,3265.97,3236.22,3238.44,65164.729
1629637200,3238.44,3242.83,3218.6,3234.46,91691.622
1629640800,3234.62,3241.36,3163.55,3166.88,184952.456
1629644400,3166.86,3188.52,3152.97,3181.85,147814.434
1629648000,3181.85,3194.4,3158.17,3178.75,118657.005
1629651600,3178.76,3189.7,3170,3177.24,39751.781
1629655200,3177.23,3177.23,3124.35,3151.28,124512.981
1629658800,3151.29,3177,3150,3175.1,44256.95
1629662400,3175.11,3175.11,3133.13,3152.89,62938.84
1629666000,3152.89,3173.82,3142.1,3168.65,33959.183
1629669600,3168.6,3218.97,3161.16,3215.69,100892.254
1629673200,3215.69,3256.7,3210.5,3241.29,130456.377
1629676800,3241.29,3261.1,3233.07,3251.9,102415.478
1629680400,3251.9,3272.96,3246.11,3262.2,85037.131
1629684000,3262.2,3309.47,3255.45,3300.17,153595.586
1629687600,3300.17,3365.25,3300.17,3347.77,270527.713
1629691200,3347.77,3363.24,3346.84,3354.59,150031.709
1629694800,3354.59,3360,3325.77,3336.03,117047.673
1629698400,3336.03,3348.34,3322.42,3332.96,64859.745
1629702000,3332.97,3336,3315.01,3326.72,64692.731
1629705600,3326.72,3344,3321.01,3337.59,62167.99
1629709200,3337.6,3355.66,3334,3354.68,66857.341
1629712800,3354.69,3369,3319.28,3334.24,168908.188
1629716400,3334.23,3355,3325,3345.73,57138.887
1629720000,3345.88,3354.89,3335.52,3341.7,50204.335
1629723600,3341.7,3352.76,3331.11,3346.49,58144.069
1629727200,3346.5,3383,3300,3314.41,260030.595
1629730800,3314.41,3340.99,3302.69,3329.68,139991.962
1629734400,3329.69,3357.95,3322.31,3354.93,104414.546
1629738000,3354.93,3359.96,3330.12,3333.28,67351.555
1629741600,3333.27,3345.25,3320.29,3332.27,59167.912
1629745200,3332.27,3332.27,3308.07,3313.77,76087.461
1629748800,3314.22,3346.94,3281.85,3343.2,120891.755
1629752400,3343.02,3348.66,3327.82,3342.75,40885.144
1629756000,3342.75,3342.75,3323.56,3336.5,51325.429
1629759600,3336.5,3338.91,3315.92,3323.01,39078.056
1629763200,3323,3353.64,3295.3,3313.78,134651.473
1629766800,3313.78,3316.97,3285,3296.4,85219.896
1629770400,3296.4,3311.84,3293.32,3309.03,35704.978
1629774000,3309.11,3329.54,3308.42,3327.09,50654.69
1629777600,3327.09,3346.36,3318.09,3337.76,70319.312
1629781200,3337.89,3348,3330.21,3336.88,39811.99
1629784800,3336.87,3354.98,3324.92,3352.23,68930.252
1629788400,3352.23,3362,3342.01,3349.91,71674.769
1629792000,3349.91,3356.03,3335,3336.86,58205.205
1629795600,3336.86,3339.89,3321.5,3329.56,58903.807
1629799200,3329.57,3346.98,3311,3312.2,104959.957
1629802800,3312.22,3328.08,3301.26,3326.18,86047.714
1629806400,3326.18,3327.56,3302,3322.37,78787.692
1629810000,3322.37,3324.76,3243.33,3254.9,238536.513
1629813600,3254.99,3258,3224,3241.4,182172.296
1629817200,3241.39,3248.55,3205,3215.96,169468.347
1629820800,3215.98,3216.52,3145,3169.64,347844.393
1629824400,3169.41,3204.66,3162.31,3180.28,123603.177
1629828000,3180.28,3195,3165,3190.71,84207.9
1629831600,3190.71,3235,3170.77,3220.5,161106.186
1629835200,3220.49,3224.02,3191.07,3219.2,83583.804
1629838800,3219.2,3222.77,3177.5,3200.96,57954.41
1629842400,3200.96,3228.38,3192.94,3217.79,51611.865
1629846000,3217.8,3221.77,3167.36,3173.98,76626.502
1629849600,3173.99,3217,3171.68,3198.17,103131.668
1629853200,3198.18,3207.74,3170.64,3206.41,68852.425
1629856800,3206.41,3219.49,3193.42,3207.5,59680.056
1629860400,3207.49,3209.48,3175,3177,59077.736
1629864000,3176.99,3194.7,3161,3177.21,81937.428
1629867600,3177,3219,3175.73,3213.86,80483.517
1629871200,3213.85,3224.74,3201.23,3202.5,70399.229
1629874800,3202.5,3214,3175.16,3185.04,87129.689
1629878400,3185.04,3191.55,3101,3104.27,296142.002
1629882000,3104.27,3119.53,3078.52,3098.33,213362.722
1629885600,3098.35,3132,3094.56,3124.95,81297.754
1629889200,3124.94,3145,3114.41,3140.69,66109.277
1629892800,3140.7,3156.82,3110,3149.67,115643.139
1629896400,3149.68,3160.91,3121.55,3133.36,95980.944
1629900000,3133.37,3192.33,3101.77,3187.22,238915.515
1629903600,3187.23,3227.08,3174.07,3217.47,152597.133
1629907200,3217.48,3231.7,3202,3215.24,96010.788
1629910800,3215.25,3241,3201.51,3225.52,91754.114
1629914400,3225.49,3239.5,3220.05,3232.05,48129.928
1629918000,3232.13,3249,3203.6,3214.65,84779.844
1629921600,3214.65,3240.86,3200,3209.41,71451.428
1629925200,3209.41,3226.04,3205.85,3223.29,42541.762
1629928800,3223.08,3240,3211,3219.25,52534.154
1629932400,3219.24,3237.69,3208,3227.9,47562.564
1629936000,3227.9,3254,3209.76,3247.68,82409.221
1629939600,3247.79,3250.86,3212,3212.08,57176.744
1629943200,3212.09,3224.16,3207.22,3214.49,44912.506
1629946800,3214.1,3216.02,3142,3150.11,197022.443
1629950400,3150.11,3166.31,3136.33,3159.51,88958.544
1629954000,3159.51,3169,3106.25,3120,164091.964
